#,物料编号,物料名称,类别,单位,当前单价,4月用量,近3月用量,当前Stage2状态,建议含税,建议税率,建议主体,建议生效期,建议价格来源
1,WH03329,车工线米色,五金辅料,米,0.0106,2948.5,21496,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
2,WH03368,车工线白色,五金辅料,米,0.01,2709.3,21256.8,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
3,WB01301,丝圈1.5米,白坯面料,,15.5,1101.93,5236.14,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
4,WH03331,抱枕洗水标,五金辅料,个,11,1031,7911,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
5,WB05319,编织袋25厘米,包装材料,,0.5,956.05,3325.14,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
6,WB05318,编织袋20厘米,包装材料,,0.4333,955.77,3324.14,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
7,WB05321,编织袋35厘米,包装材料,,0.6425,955.77,3324.14,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
8,WB01305,荔枝纹皮革桌垫白色,白坯面料,平米,13.1,762.67,2269.44,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
9,WB06305,枕芯50CM方,成品配料,个,6.5,719,4164,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
10,WB03054,热转印纸,印染材料,平米,0.71,568.42,4177.5,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
11,WH03322,白色拉链40cm,五金辅料,,0.2,501.5,3941.5,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
12,WH03323,白色拉链45cm,五金辅料,,0.28,501.5,3941.5,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
13,WB02335,布料300-01白色黄金绒,成品批布,平米,11.66,493.18,2853.56,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
14,WH05308,UV皮革墨水红,打印介质,平米,0.24,493.01,2021.26,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
15,WH05309,UV皮革墨水黄,打印介质,平米,0.24,493.01,2021.26,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
16,WH05321,UV皮革墨水蓝,打印介质,平米,0.24,493.01,2021.26,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
17,WH05322,UV皮革墨水黑,打印介质,平米,0.24,493.01,2021.26,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
18,WB06198,毛球白色5cm,半成品料,个,0.33,410,5947,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
19,WB06308,毛球黑色5cm,成品配料,个,0.33,410,5947,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
20,WB06309,毛球浅咖5cm,成品配料,个,0.33,410,5947,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
21,WB06334,毛球酒红5cm,成品配料,个,0.3072,410,5947,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
22,WB01035,丝圈1.2米,白坯面料,,15,275.48,1309.04,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
23,WB04304,皮革不干胶标签,五金辅料,个,0.0178,221,1600,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
24,WB03310,润彩 超浓转印墨水红,印染材料,平米,0.065,110.08,804.13,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
25,WB03311,润彩 超浓转印墨水黄,印染材料,平米,0.065,110.08,804.13,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
26,WB03312,润彩 超浓转印墨水蓝,印染材料,平米,0.065,110.08,804.13,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
27,WB03313,润彩 超浓转印墨水黑,印染材料,平米,0.07,110.08,804.13,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
28,WB02339,1012本白雪尼尔,成品批布,平米,17.3,76.26,1521.99,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
29,WB06007,肩带人字本白4.0CM,成品配料,米,0.378,59.8,59.8,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
30,WB06008,肩带人字黑4.0CM,成品配料,米,0.5184,59.8,59.8,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
31,WB02030,布料隔針蜂窝本白,成品批布,平米,8.5,38.31,38.31,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
32,WB01174,环保pu皮革地垫,白坯面料,平米,21,26.71,81.68,[空] 全空,Yes,13%,一般纳税人主体,2026-01-01,合同
